"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"Q5JTH9;Q5JTH9-2;Q5JTH9-3","RRP12",388960,4280500,635610,31576000,28965000,85777000,601930,3765800,1222400,30221000,123880000,60871000
"Q5JTJ3;Q5JTJ3-2","COA6",438750000,286750000,434150000,122310000,128930000,93783000,535690000,351360000,322820000,218290000,109880000,160650000
"Q5JTV8-3;Q5JTV8;Q5JTV8-4;Q5JTV8-2","TOR1AIP1",29640000,66242000,39232000,89204000,86954000,83638000,39808000,56349000,51417000,44708000,128270000,92153000
"Q5JTW2;Q5JTW2-3;Q5JTW2-5;Q5JTW2-2","CEP78",0,4737700,0,4544400,0,6299500,0,0,0,0,5519200,0
"Q5JTZ9;Q9H2T7","AARS2",470320000,341130000,413240000,199240000,233870000,125420000,400900000,290060000,272960000,151140000,144800000,176590000
"Q5JU69;Q8N2E6;Q5JU69-2","TOR2A",18821000,12784000,12793000,13803000,15252000,0,14293000,17524000,15628000,0,11621000,0
"Q5JVF3-3;Q5JVF3;Q5JVF3-4;Q5JVF3-2","PCID2",0,15232000,7461500,21291000,22486000,61661000,5899300,8364700,0,14212000,8358100,16796000
"Q5K4L6;Q5K4L6-2;Q5K4L6-3","SLC27A3",14429000,10465000,14390000,6520800,11535000,14780000,17216000,20023000,19486000,3262600,12718000,5705300
"Q5M775-4;Q5M775;Q5M775-5;Q5M775-3;Q5M775-2","SPECC1",19062000,25369000,98167000,13962000,9488100,53819000,17356000,55528000,49580000,18703000,19698000,21596000
"Q5MIZ7-3;Q5MIZ7-2;Q5MIZ7;Q5MIZ7-5","SMEK2",0,0,0,0,0,15844000,0,0,0,0,0,0
"Q5MNZ6","WDR45B",8571700,8243000,13054000,7400200,7792200,19385000,7973900,19118000,17697000,6937900,5578000,0
"Q5NDL2;Q5NDL2-3;Q5NDL2-2","EOGT",25136000,38155000,15411000,9257800,0,0,14430000,14938000,14327000,9443000,0,8025700
"Q5PRF9","SAMD4B",0,4954100,6616600,22078000,16805000,25701000,0,8134600,9908700,16386000,20859000,19073000
"Q5QJ74","TBCEL",0,0,0,4559700,0,13187000,6630400,0,0,4899600,0,0
"Q5QJE6","DNTTIP2",0,9571800,3791400,51628000,41912000,28135000,940840,3837200,0,19815000,130620000,51478000
