Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,VL24 OCIAD1 KO MITOS,VL24 WT MITOS,VL23 OCIAD1 KO MITOS,VL23 WT MITOS,VL22 OCIAD1 KO MITOS,VL22 WT MITOS,VL24 OCIAD1 KO TOTALS,VL24 WT TOTALS,VL23 OCIAD1 KO TOTALS,VL23 WT TOTALS,VL22 OCIAD1 KO TOTALS,VL22 WT TOTALS,230712_blank_n1.raw (F25)+230712_blank_p2.raw (F26)
17.978,1458.04468,-,30589822.64,CL 72:3,CL,4,6390462.791,4244543.079,5841261.188,5665063.305,10164945.44,4053054.934,30589822.64,7146074.49,23947351.85,10366629.51,21740956.54,12703756.83,424289.8056
16.268,1451.99585,-,501532395.3,CL 72:6,CL,12,151732359,140381940.3,110756778.3,209985192.9,87692815.63,157300155.1,501532395.3,240600381.8,405258145.3,284436067.5,372233678.1,393165225.4,577680.0658
15.745,1449.97791,-,139337741.2,CL 72:7,CL,11,34333724.22,44595198.57,25718430.32,52010351.37,40985246.52,27481354.64,139337741.2,71196447.04,87352575.56,81040476.61,84544275.2,85873744.96,259336.1531
15.459,1447.9613,-,75089279.79,CL 72:8,CL,10,21544233.13,24068544.59,17695630.63,29271070.31,24374486.23,18729082.33,75089279.79,33106661.92,57490445.27,36891404.57,56481812.18,43442320.12,239722.5488
16.598,1466.01355,-,19937559.44,CL 73:6,CL,12,6113674.152,13443611.84,4768255.85,14066106.07,6079416.201,10793822.65,19681255.03,19937559.44,18036459.22,11380761.74,17323457.13,18652192.45,278744.1779
16.075,1463.99976,-,11863363.81,CL 73:7,CL,11,3901049.968,5045991.832,2524932.999,5310934.55,3624293.239,4310871.371,11237055,9061557.558,11863363.81,8928881.555,5729320.082,9137143.586,199663.6033
16.041,1471.96277,-,32380038.47,CL 74:10,CL,8,11308671.14,9049507.72,8267678.151,9223091.53,12504837.35,7029106.924,32380038.47,12275437.44,29609854.9,14117918.68,25048011.14,16986637.32,264215.5677
16.916,1480.02808,-,106202099.3,CL 74:6,CL,11,28335185.56,36347759.89,25024970.48,41904968.25,40663729.55,31195343.15,106202099.3,40505445.24,66592298.59,60980608.45,70356066.77,76354997.47,320233.4518
16.378,1478.01196,-,84182903.8,CL 74:7,CL,12,29565331.76,31409021.55,26797293.71,35702349.56,30126011.91,25630232.55,84182903.8,59019454.12,72046040.42,50832760.33,65708923.36,64117135.98,294356.0013
16.617,1487.99487,-,11994666.69,CL 75:9,CL,12,3423367.791,5735279.848,1993411.026,4934721.932,4818482.918,2836337.207,10249426.79,8917546.303,7469201.164,8133387.607,10053845.41,11994666.69,362319.4423
8.269,1151.70642,-,233669390,GM3-NANA d34:1,GM3-NANA,24,19799741.46,79685268.08,26185481.24,93741359.54,18153423.46,49775729.39,168667084.5,158125664.2,97235032.87,177717017.3,93268991.95,233669390,41317.78415
9.996,698.55847,-,280527862.9,HexCer[NS] d18:1_16:0,HexCer[NS],18,75818323.48,168997581.2,91802447.14,182980891.3,97705971.81,142009699.9,177676771.2,210685878.8,159402530.3,245127716.8,162271151.4,280527862.9,99974.32373
13.236,842.67456,-,117241964,HexCer[NS] d18:1_22:0,HexCer[NS],37,25294923.86,57540055.26,32113224.64,62765167.24,36251933.23,40059304.04,117241964,66480213.13,74697299.66,64852182.13,72250083.17,106365256.1,184106.633
15.204,898.73682,-,5892924.57,HexCer[NS] d18:1_26:0,HexCer[NS],12,999401.8619,2937638.521,1357379.499,3570363.04,1454860.658,1965372.594,4889848.37,2895282.032,3200521.249,3410434.238,2916150.604,5892924.57,161781.5032
14.081,896.72076,-,7714018.978,HexCer[NS] d18:1_26:1,HexCer[NS],10,1496539.771,5076558.979,1494979.898,5161415.396,2219588.168,2836079.303,6709862.002,5268597.607,4527138.523,5981822.31,4919088.939,7714018.978,140755.9854
12.011,806.65247,-,33812423.97,HexCer[NS] d18:2_24:1,HexCer[NS],12,9187748.483,14270489.04,11274392.06,14839072.7,14261253.05,8264603.317,32692045.16,16759127.19,23168291.77,17884530.55,33812423.97,23491922.57,138261.7723
12.957,782.64978,+,69134287.96,HexCer[NS] d40:2,HexCer[NS],12,6262991.476,16443149.67,10456682.55,20061042.72,12073815.42,13970281.26,46388654.65,26866173.09,31654382.27,38023857.57,34517863.27,69134287.96,115561.6687
13.971,810.68115,+,190676203.5,HexCer[NS] d42:2,HexCer[NS],12,14161178.98,43357493.89,23115753.9,68664208.87,22466992,41787635.71,98088297.85,67954273.25,73646221.93,110950473.7,83365611.91,190676203.5,205159.7485
14.728,884.72168,-,7400685.368,HexCer[NS] d43:1,HexCer[NS],12,973368.2928,3791544.953,1100915.076,4352673.897,1184791.181,2729286.346,4154806.277,4148529.617,2526249.771,5205963.53,2461131.252,7400685.368,152622.8896
